city_a,city_b,distance_km
Ahmedabad (NA),Indore (NA),439.87
Ahmedabad (NA),Mumbai (NA),571.97
Ahmedabad (NA),Bhopal (NA),644.39
Bengaluru (NA),Coimbatore (NA),296.66
Bengaluru (NA),Chennai (NA),377.22
Bengaluru (NA),Madurai (NA),446.61
Bhopal (NA),Indore (NA),221.16
Bhopal (NA),Nagpur (NA),379.04
Bhopal (NA),Jaipur (NA),569.22
Bhubaneswar (NA),Kolkata (NA),474.36
Bhubaneswar (NA),Patna (NA),771.28
Bhubaneswar (NA),Nagpur (NA),918.94
Chennai (NA),Madurai (NA),548.75
Chennai (NA),Coimbatore (NA),555.66
Coimbatore (NA),Kochi (NA),184.94
Coimbatore (NA),Madurai (NA),228.64
Delhi (NA),Jaipur (NA),305.88
Delhi (NA),Kanpur (NA),507.99
Delhi (NA),Lucknow (NA),542.09
Guwahati (NA),Kolkata (NA),680.95
Guwahati (NA),Patna (NA),861.85
Bhubaneswar (NA),Guwahati (NA),1153.49
Hyderabad (NA),Nagpur (NA),549.79
Bengaluru (NA),Hyderabad (NA),649.99
Hyderabad (NA),Pune (NA),657.48
Indore (NA),Nagpur (NA),489.26
Jaipur (NA),Kanpur (NA),590.75
Kanpur (NA),Lucknow (NA),97.92
Kochi (NA),Madurai (NA),263.78
Bengaluru (NA),Kochi (NA),478.03
Kolkata (NA),Patna (NA),609.9
Lucknow (NA),Patna (NA),572.86
Mumbai (NA),Pune (NA),156.2
Indore (NA),Mumbai (NA),662.78
Kanpur (NA),Patna (NA),636.35
Indore (NA),Pune (NA),664.61
